name,url_pc,Désignation,Marque,Modèle,Gamme Macbook,Année de sortie,Système d'exploitation,Système d'exploitation fourni,Processeur,Type de processeur,Taille de la mémoire,Taille de l'écran,Résolution Max,Format de l'écran,Ecran large,Chipset graphique,Disque fourni,Capacité,Lecteur de cartes,Graveur DVD,Type de lecteur / graveur,Norme(s) réseau sans-fil,Technologie Bluetooth,Webcam,Microphone intégré,Type de H.P,Type d'activités,Norme du clavier,Localisation,Pavé numérique,Touches Multimédia,Lecteur biométrique,Connecteur(s) disponible(s),Sortie HDMI,Couleur,Matériau,Profondeur,Largeur,Epaisseur,Poids,Indice réparabilité (sur 10),Définition de l'indice,Autonomie,Capacité de la batterie,Capacité du chargeur,Batterie amovible,DAS tronc,DAS membres,Garantie commerciale,Garantie légale,Personne responsable,Adresse postale,Adresse électronique,img_url,price,Disponibilité des pièces détachées,NPU (Neural Processing Unit)
Apple MacBook Air M2 13 pouces (2022) Argent 16 Go/256 Go (MC7V4FN/A),https://www.ldlc.com/fiche/PB00651893.html,Apple MacBook Air M2 13 pouces (2022) Argent 16 Go/256 Go (MC7V4FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2024,Apple macOS Sequoia,Oui,Apple M2 (8-Core/GPU8-Core),Puce Apple M2 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 GPU 8 coeurs,SSD 256 Go,256                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.3,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Argent,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,30                            W,Non,0.83                            W/kg,0.83                            W/kg,5 ans vendeur,Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959615_0005966858_0006184340.jpg, 1 329€00,,
Apple MacBook Air M2 13 pouces (2022) Gris sidéral 16 Go/256 Go (MC7U4FN/A),https://www.ldlc.com/fiche/PB00651892.html,Apple MacBook Air M2 13 pouces (2022) Gris sidéral 16 Go/256 Go (MC7U4FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2024,Apple macOS Sequoia,Oui,Apple M2 (8-Core/GPU8-Core),Puce Apple M2 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 GPU 8 coeurs,SSD 256 Go,256                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.3,Oui,Oui,Intégrés,"Bureautique, Multimédia",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Gris,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,30                            W,Non,0.83                            W/kg,0.83                            W/kg,5 ans vendeur,Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959609_0006184307.jpg, 1 329€00,,
Apple MacBook Air M2 13 pouces (2022) Gris sidéral 8Go/512 Go (MLXX3FN/A),https://www.ldlc.com/fiche/PB00501000.html,Apple MacBook Air M2 13 pouces (2022) Gris sidéral 8Go/512 Go (MLXX3FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2022,Apple macOS Monterey,Oui,Apple M2 (8-Core/GPU10-Core),Puce Apple M2 (CPU 8 coeurs / GPU 10 coeurs / Neural Engine 16 coeurs),8                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 (8-Core/GPU10-Core),SSD 512 Go,512                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.0,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Gris,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,35                            W,Non,0.83                            W/kg,0.83                            W/kg,"1 an constructeur
    
 
        5 ans vendeur
    





Garantie limitée Apple 
La Garantie limitée d’un an d’Apple est une garantie commerciale du fabricant offerte par Apple. Elle confère des droits différents de ceux dont vous pouvez disposer en vertu de la loi, y compris, mais sans s'y limiter, ceux relatifs aux produits non conformes ou aux produits présentant des vices cachés. Par conséquent, la Garantie limitée d’un an Apple s’ajoute aux droits conférés par la loi, au lieu de les remplacer.",Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/97/LD0005959724.jpg, 1 329€00,5 ans,
Apple MacBook Air M2 13 pouces (2022) Lumière stellaire 16 Go/256 Go (MC7W4FN/A),https://www.ldlc.com/fiche/PB00651895.html,Apple MacBook Air M2 13 pouces (2022) Lumière stellaire 16 Go/256 Go (MC7W4FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2024,Apple macOS Sequoia,Oui,Apple M2 (8-Core/GPU8-Core),Puce Apple M2 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 GPU 8 coeurs,SSD 256 Go,256                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.3,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Or,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,30                            W,Non,0.83                            W/kg,0.83                            W/kg,5 ans vendeur,Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959626_0005966863_0006184345.jpg, 1 329€00,,
Apple MacBook Air M2 13 pouces (2022) Lumière stellaire 8Go/512 Go (MLY23FN/A),https://www.ldlc.com/fiche/PB00500994.html,Apple MacBook Air M2 13 pouces (2022) Lumière stellaire 8Go/512 Go (MLY23FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2022,Apple macOS Monterey,Oui,Apple M2 (8-Core/GPU10-Core),Puce Apple M2 (CPU 8 coeurs / GPU 10 coeurs / Neural Engine 16 coeurs),8                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 (8-Core/GPU10-Core),SSD 512 Go,512                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.0,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Or,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,35                            W,Non,0.83                            W/kg,0.83                            W/kg,"1 an constructeur
    
 
        5 ans vendeur
    





Garantie limitée Apple 
La Garantie limitée d’un an d’Apple est une garantie commerciale du fabricant offerte par Apple. Elle confère des droits différents de ceux dont vous pouvez disposer en vertu de la loi, y compris, mais sans s'y limiter, ceux relatifs aux produits non conformes ou aux produits présentant des vices cachés. Par conséquent, la Garantie limitée d’un an Apple s’ajoute aux droits conférés par la loi, au lieu de les remplacer.",Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959626_0005959684.jpg, 1 329€00,5 ans,
Apple MacBook Air M2 13 pouces (2022) Minuit 16 Go/256 Go (MC7X4FN/A),https://www.ldlc.com/fiche/PB00651898.html,Apple MacBook Air M2 13 pouces (2022) Minuit 16 Go/256 Go (MC7X4FN/A),"Apple

                      Apple",MacBook Air M2,MacBook Air,2024,Apple macOS Sequoia,Oui,Apple M2 (8-Core/GPU8-Core),Puce Apple M2 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 GPU 8 coeurs,SSD 256 Go,256                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.3,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Noir,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,30                            W,Non,0.83                            W/kg,0.83                            W/kg,5 ans vendeur,Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959647_0005966871_0006184358.jpg, 1 329€00,,
Apple MacBook Air M2 13 pouces (2022) Minuit 8Go/512 Go (MLY43FN/A),https://www.ldlc.com/fiche/PB00500998.html,Apple MacBook Air M2 13 pouces (2022) Minuit 8Go/512 Go (MLY43FN/A),"Apple

                      Apple",MLY43FN/A,MacBook Air,2022,Apple macOS Monterey,Oui,Apple M2 (8-Core/GPU10-Core),Puce Apple M2 (CPU 8 coeurs / GPU 10 coeurs / Neural Engine 16 coeurs),8                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M2 (8-Core/GPU10-Core),SSD 512 Go,512                            Go,Aucun,Non,Aucun,Wi-Fi 6 AX,Bluetooth 5.0,Oui,Oui,Intégrés,"Bureautique, Multimédia",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Noir,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.6,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,35                            W,Non,0.83                            W/kg,0.83                            W/kg,"1 an constructeur
    
 
        5 ans vendeur
    





Garantie limitée Apple 
La Garantie limitée d’un an d’Apple est une garantie commerciale du fabricant offerte par Apple. Elle confère des droits différents de ceux dont vous pouvez disposer en vertu de la loi, y compris, mais sans s'y limiter, ceux relatifs aux produits non conformes ou aux produits présentant des vices cachés. Par conséquent, la Garantie limitée d’un an Apple s’ajoute aux droits conférés par la loi, au lieu de les remplacer.",Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/05/95/96/LD0005959647_0005959709.jpg, 1 329€00,5 ans,
Apple MacBook Air M3 13 pouces (2024) Argent 16 Go/256 Go (MC8H4FN/A),https://www.ldlc.com/fiche/PB00651901.html,Apple MacBook Air M3 13 pouces (2024) Argent 16 Go/256 Go (MC8H4FN/A),"Apple

                      Apple",MacBook Air M3,MacBook Air,2024,Apple macOS Sequoia,Oui,Apple M3 (8-Core/GPU8-Core),Puce Apple M3 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M3 GPU 8 coeurs,SSD 256 Go,256                            Go,Aucun,Non,Aucun,Wi-Fi 6E,Bluetooth 5.3,Oui,Oui,Intégrés,"Bureautique, Multimédia",AZERTY,Français,Non,Oui,Oui,"Casque (Jack 3.5mm Femelle), 2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C",Non,Argent,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.5,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,30                            W,Non,0.39                            W/kg,0.39                            W/kg,5 ans vendeur,Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/06/11/44/LD0006114477_0006184375.jpg, 1 329€00,,
Apple MacBook Air M3 13 pouces (2024) Argent 8Go/512 Go (MRXR3FN/A),https://www.ldlc.com/fiche/PB00594950.html,Apple MacBook Air M3 13 pouces (2024) Argent 8Go/512 Go (MRXR3FN/A),"Apple

                      Apple",MacBook Air M3,MacBook Air,2024,Apple macOS Sonoma,Oui,Apple M3 (8-Core/GPU10-Core),Puce Apple M3 (CPU 8 coeurs / GPU 10 coeurs / Neural Engine 16 coeurs),8                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M3 GPU 10 coeurs,SSD 512 Go,512                            Go,Aucun,Non,Aucun,Wi-Fi 6E,Bluetooth 5.3,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Argent,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.5,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,35                            W,Non,0.39                            W/kg,0.39                            W/kg,"1 an constructeur
    
 
        5 ans vendeur
    





Garantie limitée Apple 
La Garantie limitée d’un an d’Apple est une garantie commerciale du fabricant offerte par Apple. Elle confère des droits différents de ceux dont vous pouvez disposer en vertu de la loi, y compris, mais sans s'y limiter, ceux relatifs aux produits non conformes ou aux produits présentant des vices cachés. Par conséquent, la Garantie limitée d’un an Apple s’ajoute aux droits conférés par la loi, au lieu de les remplacer.",Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/06/11/45/LD0006114502.jpg, 1 329€00,5 ans,
Apple MacBook Air M3 13 pouces (2024) Gris sidéral 16Go/512 Go (MXCR3FN/A),https://www.ldlc.com/fiche/PB00594953.html,Apple MacBook Air M3 13 pouces (2024) Gris sidéral 16Go/512 Go (MXCR3FN/A),"Apple

                      Apple",MacBook Air M3,MacBook Air,2024,Apple macOS Sonoma,Oui,Apple M3 (8-Core/GPU10-Core),Puce Apple M3 (CPU 8 coeurs / GPU 10 coeurs / Neural Engine 16 coeurs),16                            Go,13 pouces,2560 x 1664 pixels,16/10,Oui,Apple M3 GPU 10 coeurs,SSD 512 Go,512                            Go,Aucun,Non,Aucun,Wi-Fi 6E,Bluetooth 5.3,Oui,Oui,Intégrés,"Multimédia, Bureautique",AZERTY,Français,Non,Oui,Oui,"2 X                                                                                                                                                                                                 
                                                                                    Thunderbolt 4/USB-C, Casque (Jack 3.5mm Femelle)",Non,Gris,Aluminium,215                            mm,304.1                            mm,11.3                            mm,1.24                            kg,6.5,"L'indice de réparabilité des produits s'inscrit dans le cadre de la LOI n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Une note de 1 à 10 est attribuée au produit en fonction de son ""degré"" de réparabilité. 5 critères sont pris en compte pour établir cette notation (durée de disponibilité de la documentation technique, caractère démontable de l'équipement, durée de disponibilité des pièces détachées, rapport entre le prix de vente des pièces détachées et le prix de vente de l'équipement, critères spécifiques à la catégorie d'équipements concernée). L'indice de réparabilité est obtenu en additionnant les cinq notes obtenues puis en divisant ce total par dix pour exprimer une note synthétique sur une échelle de 1 à 10.",18                            Heure(s),52.6                            Wh,35                            W,Non,0.39                            W/kg,0.39                            W/kg,"1 an constructeur
    
 
        5 ans vendeur
    





Garantie limitée Apple 
La Garantie limitée d’un an d’Apple est une garantie commerciale du fabricant offerte par Apple. Elle confère des droits différents de ceux dont vous pouvez disposer en vertu de la loi, y compris, mais sans s'y limiter, ceux relatifs aux produits non conformes ou aux produits présentant des vices cachés. Par conséquent, la Garantie limitée d’un an Apple s’ajoute aux droits conférés par la loi, au lieu de les remplacer.",Voir les modalités,Apple Distribution International Limited,"Hollyhill Industrial Estate, Hollyhill, Cork, Ireland",Voir la page,https://media.ldlc.com/r1600/ld/products/00/06/11/45/LD0006114507_0006114517.jpg, 1 329€00,5 ans,
